,Word,Frequency,CD,Lemma Frequency,Token ID,Sentence ID,Lemma,Meaning,Lemma Count,Valid,POS
0,barkeeper,2.2648178230095364,2.123851640967086,2.294466226161593,2,1,barkeeper,bartender,2,True,N
1,klant,3.1889284837608534,2.971739590887778,3.5058280338548364,6,1,klant,"client, customer",3,True,N
2,deuren,3.154423973114647,3.012415374762433,4.0888445627270045,11,1,deur,door,2,True,N
3,dronkaard,2.0863598306747484,2.0211892990699383,2.2576785748691846,16,2,dronkaard,drunkard,1,True,N
4,barkeeper,2.2648178230095364,2.123851640967086,2.294466226161593,19,2,barkeeper,bartender,2,True,N
5,kruk,2.0492180226701815,1.9242792860618816,2.2671717284030137,24,2,kruk,stool,1,True,N
6,rector,2.406540180433955,1.99563519459755,2.4099331233312946,27,3,rector,rector,2,True,N
7,puber,1.8750612633917,1.863322860120456,2.037426497940624,31,3,puber,pubescent child,5,True,N
8,inbreker,2.296665190261531,2.0791812460476247,2.4983105537896004,37,4,inbreker,burglar,1,True,N
9,pastoor,2.7151673578484576,2.2695129442179165,2.7193312869837265,41,4,pastoor,parish priest,2,True,N
10,einde,3.693639026161548,3.4782778319196046,3.6946929263314843,45,4,einde,end,4,True,N
11,raad,3.5599066250361124,3.3533390953113047,3.7570922201189325,46,4,raad,advice,2,True,N
12,week,4.012963699825778,3.6582022533870147,4.229297794114105,48,5,week,week,2,True,N
13,assistent,2.9556877503135057,2.800717078282385,3.000434077479319,51,5,assistent,assistant,1,True,N
14,tanden,3.269979676645324,3.119585774961784,3.358315640082196,55,5,tand,tooth,1,True,N
15,uitslag,2.7193312869837265,2.597695185925512,2.7867514221455614,58,5,uitslag,result,1,True,N
16,maandag,3.1319392952104246,2.9590413923210934,3.1319392952104246,60,6,maandag,Monday,3,True,N
17,medicus,1.414973347970818,1.414973347970818,1.7075701760979363,63,6,medicus,doctor,1,True,N
18,pokken,1.8573324964312685,1.724275869600789,1.8573324964312685,67,6,pokken,small pox,2,True,N
19,pokken,1.8573324964312685,1.724275869600789,1.8573324964312685,71,6,pokken,small pox,2,True,N
20,psychiater,2.9355072658247128,2.717670503002262,2.975431808509263,76,7,psychiater,psychiatrist,1,True,N
21,verslaafde,2.2671717284030137,2.1522883443830563,2.597695185925512,79,7,verslaafde,addict,1,True,N
22,ontslag,3.12057393120585,2.9339931638312424,3.1332194567324945,82,7,ontslag,"discharge, resignation",2,True,N
23,overtreder,1.3222192947339193,1.1760912590556813,1.7481880270062005,84,8,overtreder,some who breaks a low,2,True,N
24,smeris,3.0008677215312267,2.6473829701146196,3.1649473726218416,87,8,smeris,"cop, police officer",1,True,N
25,paadje,0.8450980400142568,0.8450980400142568,0.8450980400142568,93,8,pad,path,1,True,N
26,eigenaars,2.167317334748176,2.0863598306747484,3.2268575702887237,96,9,eigenaar,owner,3,True,N
27,landgoed,2.53655844257153,2.298853076409707,2.546542663478131,99,9,landgoed,"estate, manor",1,True,N
28,honderden,2.9978230807457256,2.9079485216122722,3.490520309363349,101,9,honderden,hundred,1,True,N
29,bezoekers,2.639486489268586,2.469822015978163,2.801403710017355,102,9,bezoeker,visitor,5,True,N
30,bodyguard,2.0170333392987803,1.7993405494535817,2.1903316981702914,110,10,bodyguard,bodyguard,1,True,N
31,filmster,2.428134794028789,2.290034611362518,2.5550944485783194,113,10,filmster,movie star,1,True,N
32,dag,4.569455844240683,3.8654001181793016,4.69742115739418,117,10,dag,day,3,True,N
33,ober,2.6414741105040997,2.4871383754771865,2.7041505168397992,121,11,ober,waiter,3,True,N
34,president,3.750354088762708,3.0707764628434346,3.758381941774675,125,11,president,president,3,True,N
35,ontslag,3.12057393120585,2.9339931638312424,3.1332194567324945,128,11,ontslag,"discharge, resignation",2,True,N
36,arts,3.1565491513317814,2.89707700320942,3.2979792441593623,130,12,arts,"physician, doctor",2,True,N
37,bandage,0.0,0.0,0.47712125471966244,134,12,bandage,bandage,1,True,N
38,handschoenen,2.7209857441537393,2.5728716022004803,2.9143431571194407,139,12,handschoen,glove,1,True,N
39,sportarts,,,,142,13,sportarts,sport doctor,1,True,N
40,hockeyer,0.7781512503836436,0.3010299956639812,0.9542425094393249,145,13,hockeyer,hockey player,1,True,N
41,pezen,1.414973347970818,1.380211241711606,1.6901960800285136,149,13,,,6,False,N
42,oma,3.503245771465113,3.0580462303952816,3.5269850685599957,157,14,oma,grandma,7,True,N
43,bekken,1.9912260756924949,1.9084850188786497,3.368658712392227,161,14,bekken,pelvis,1,True,N
44,verpleegster,2.8344207036815328,2.6532125137753435,2.9232440186302764,164,14,verpleegster,"nurse, sister",3,True,N
45,alcoholist,2.3710678622717363,2.247973266361807,2.4608978427565478,169,15,alcoholist,alcoholic,1,True,N
46,psycholoog,2.357934847000454,2.230448921378274,2.436162647040756,173,15,psycholoog,psychologist,1,True,N
47,terugval,1.7075701760979363,1.6334684555795864,1.7075701760979363,178,15,terugval,"decline, downturn",1,True,N
48,Maandag,,,,179,16,maandag,Monday,3,True,N
49,scholier,1.7403626894942439,1.568201724066995,2.03342375548695,182,16,scholier,"pupil, student",3,True,N
50,meester,3.4530123911214554,2.916453948549925,3.484157424365381,185,16,meest,master,1,True,N
51,punaises,0.47712125471966244,0.47712125471966244,1.0413926851582251,188,16,punaise,drawing pin,1,True,N
52,stoel,3.3500540935790304,3.1649473726218416,3.4382258076045296,191,16,stoel,chair,1,True,N
53,Jochem,,,,193,17,Jochem,Jochem,1,True,N
54,basketbal,2.5854607295085006,2.27415784926368,2.6910814921229687,200,17,basketbal,basketball,1,True,N
55,enkel,3.696443763138999,3.321391278311689,3.7196626830180466,203,17,enkel,ankle,1,True,N
56,politieman,2.760422483423212,2.515873843711679,2.7902851640332416,206,18,politieman,policeman,2,True,N
57,kraker,1.3222192947339193,1.146128035678238,1.6127838567197355,210,18,kraker,chiropractor,2,True,N
58,staker,0.0,0.0,0.0,217,19,staker,striker,1,True,N
59,dames,3.761927838420529,3.448087666692341,3.9708580569965024,221,19,dame,lady,3,True,N
60,journalist,2.8530895298518657,2.582063362911709,3.044147620878723,227,20,journalist,press journalist,1,True,N
61,bondscoach,0.3010299956639812,0.3010299956639812,0.3010299956639812,231,20,bondscoach,national coach,1,True,N
62,zuster,3.4951278812429334,3.095518042323151,3.5756496147552195,237,21,zuster,sister,2,True,N
63,tuberculose,1.724275869600789,1.591064607026499,1.724275869600789,241,21,tuberculose,tuberculosis,1,True,N
64,bejaarde,1.792391689498254,1.7558748556724915,1.9344984512435677,243,21,bejaarde,elderly person,2,True,N
65,goochelaar,2.2278867046136734,1.9344984512435677,2.296665190261531,248,22,goochelaar,magician,1,True,N
66,vrijwilliger,2.3979400086720375,2.3201462861110542,2.997386384397313,251,22,vrijwilliger,volunteer,1,True,N
67,publiek,3.2626883443016963,3.0170333392987803,3.3332456989619628,255,22,publiek,audience,3,True,N
68,dominee,2.9876662649262746,2.4265112613645754,2.9943171526696366,261,23,dominee,"minister, pastor",2,True,N
69,baby,3.822037248072585,3.3352572564345317,3.8706379632108057,264,23,baby,baby,5,True,N
70,voorganger,2.123851640967086,1.9493900066449128,2.2624510897304293,270,24,voorganger,predecessor,1,True,N
71,kleintje,2.8457180179666586,2.7058637122839193,2.9995654882259823,274,24,kleintje,little one,1,True,N
